,Count_ICC_above_0_8,Count_ICC_above_0_6,Average_ICC,Day
1,1,4,0.6484547464731646,1
1,1,4,0.6484547464731646,1
2,2,6,0.7975980410814127,2
3,6,6,0.8614880030741264,3
4,6,6,0.9011382397810648,4
5,6,6,0.949637254211599,5
6,6,6,0.9825181316429181,6
7,6,6,1.0,7
