,Count_ICC_above_0_8,Count_ICC_above_0_6,Average_ICC,Day
0,0,2,0.45304777594965573,2
0,0,2,0.45304777594965573,2
0,0,18,0.6125930510589622,3
0,9,37,0.7486117034602515,4
0,26,37,0.8424873829763593,5
0,37,37,0.9426184980523623,6
0,37,37,1.0,7
