,Count_ICC_above_0_8,Count_ICC_above_0_6,Average_ICC,Day
1,0,2,0.5959466670119675,1
1,0,2,0.5959466670119675,1
2,1,5,0.7519406872972889,2
3,4,5,0.8348639530018784,3
4,5,5,0.8879774778542003,4
5,5,5,0.9392349327801707,5
6,5,5,0.9800546152991751,6
7,5,5,1.0,7
