,Count_ICC_above_0_8,Count_ICC_above_0_6,Average_ICC,Day
1,0,4,0.501859144594649,1
1,0,4,0.501859144594649,1
2,3,17,0.6852801409827106,2
3,9,20,0.7835138160306013,3
4,20,21,0.8667587562148459,4
5,21,21,0.9229380459798312,5
6,21,21,0.9732069358146598,6
7,21,21,1.0,7
