,Count_ICC_above_0_8,Count_ICC_above_0_6,Average_ICC,Day
2,0,0,0.4415600129663152,2
2,0,0,0.4415600129663152,2
3,0,3,0.6121770278697327,3
4,0,5,0.7153386968135218,4
5,2,5,0.8236760555329283,5
6,5,5,0.9466878614029032,6
7,5,5,1.0,7
